Date,Open,High,Low,Close,Volume,Adj Close
2015-08-31,0.03,0.03,0.03,0.03,000,0.03
2015-08-28,0.03,0.03,0.03,0.03,000,0.03
2015-08-27,0.03,0.03,0.03,0.03,000,0.03
2015-08-26,0.03,0.03,0.03,0.03,000,0.03
2015-08-25,0.03,0.03,0.03,0.03,000,0.03
2015-08-24,0.03,0.03,0.03,0.03,000,0.03
2015-08-20,0.03,0.03,0.03,0.03,000,0.03
2015-08-19,0.03,0.03,0.03,0.03,000,0.03
2015-08-18,0.03,0.03,0.03,0.03,000,0.03
2015-08-17,0.03,0.03,0.03,0.03,000,0.03
2015-08-14,0.03,0.03,0.03,0.03,000,0.03
2015-08-13,0.03,0.03,0.03,0.03,000,0.03
2015-08-12,0.03,0.03,0.03,0.03,000,0.03
2015-08-11,0.03,0.03,0.03,0.03,000,0.03
2015-08-10,0.03,0.03,0.03,0.03,000,0.03
2015-08-07,0.03,0.03,0.03,0.03,000,0.03
2015-08-06,0.03,0.03,0.03,0.03,000,0.03
2015-08-05,0.03,0.03,0.03,0.03,000,0.03
2015-08-04,0.03,0.03,0.03,0.03,000,0.03
2015-08-03,0.03,0.03,0.03,0.03,000,0.03
2015-07-31,0.03,0.03,0.03,0.03,000,0.03
2015-07-30,0.03,0.03,0.03,0.03,000,0.03
2015-07-29,0.03,0.03,0.03,0.03,000,0.03
2015-07-28,0.03,0.03,0.03,0.03,000,0.03
2015-07-27,0.03,0.03,0.03,0.03,000,0.03
2015-07-24,0.03,0.03,0.03,0.03,000,0.03
2015-07-23,0.03,0.03,0.03,0.03,000,0.03
2015-07-22,0.03,0.03,0.03,0.03,000,0.03
2015-07-21,0.03,0.03,0.03,0.03,000,0.03
2015-07-20,0.03,0.03,0.03,0.03,000,0.03
2015-07-17,0.03,0.03,0.03,0.03,000,0.03
2015-07-16,0.03,0.03,0.03,0.03,000,0.03
2015-07-15,0.03,0.03,0.03,0.03,000,0.03
2015-07-14,0.03,0.03,0.03,0.03,000,0.03
2015-07-13,0.03,0.03,0.03,0.03,000,0.03
2015-07-10,0.03,0.03,0.03,0.03,000,0.03
2015-07-09,0.03,0.03,0.03,0.03,000,0.03
2015-07-08,0.03,0.03,0.03,0.03,000,0.03
2015-07-07,0.03,0.03,0.03,0.03,000,0.03
2015-07-06,0.03,0.03,0.03,0.03,000,0.03
2015-07-03,0.03,0.03,0.03,0.03,000,0.03
2015-07-02,0.03,0.03,0.03,0.03,000,0.03
2015-07-01,0.03,0.03,0.03,0.03,000,0.03
2015-06-30,0.03,0.03,0.03,0.03,000,0.03
2015-06-29,0.03,0.03,0.03,0.03,000,0.03
2015-06-26,0.03,0.03,0.03,0.03,000,0.03
2015-06-25,0.03,0.03,0.03,0.03,000,0.03
2015-06-24,0.03,0.03,0.03,0.03,000,0.03
2015-06-23,0.03,0.03,0.03,0.03,000,0.03
2015-06-22,0.03,0.03,0.03,0.03,000,0.03
2015-06-19,0.03,0.03,0.03,0.03,000,0.03
2015-06-18,0.03,0.03,0.03,0.03,000,0.03
2015-06-17,0.03,0.03,0.03,0.03,000,0.03
2015-06-16,0.03,0.03,0.03,0.03,000,0.03
2015-06-15,0.03,0.03,0.03,0.03,000,0.03
2015-06-12,0.03,0.03,0.03,0.03,000,0.03
2015-06-11,0.03,0.03,0.03,0.03,000,0.03
2015-06-10,0.03,0.03,0.03,0.03,000,0.03
2015-06-09,0.03,0.03,0.03,0.03,000,0.03
2015-06-08,0.03,0.03,0.03,0.03,000,0.03
2015-06-05,0.03,0.03,0.03,0.03,000,0.03
2015-06-04,0.03,0.03,0.03,0.03,000,0.03
2015-06-03,0.03,0.03,0.03,0.03,000,0.03
2015-06-02,0.03,0.03,0.03,0.03,000,0.03
2015-06-01,0.03,0.03,0.03,0.03,000,0.03
2015-05-29,0.03,0.03,0.03,0.03,000,0.03
2015-05-28,0.03,0.03,0.03,0.03,000,0.03
2015-05-27,0.03,0.03,0.03,0.03,000,0.03
2015-05-26,0.03,0.03,0.03,0.03,000,0.03
2015-05-25,0.03,0.03,0.03,0.03,000,0.03
2015-05-22,0.03,0.03,0.03,0.03,000,0.03
2015-05-21,0.03,0.03,0.03,0.03,000,0.03
2015-05-20,0.03,0.03,0.03,0.03,000,0.03
2015-05-19,0.03,0.03,0.03,0.03,000,0.03
2015-05-18,0.03,0.03,0.03,0.03,000,0.03
2015-05-15,0.03,0.03,0.03,0.03,000,0.03
2015-05-14,0.03,0.03,0.03,0.03,000,0.03
2015-05-13,0.03,0.03,0.03,0.03,000,0.03
2015-05-12,0.03,0.03,0.03,0.03,000,0.03
2015-05-11,0.03,0.03,0.03,0.03,000,0.03
2015-05-08,0.03,0.03,0.03,0.03,000,0.03
2015-05-07,0.03,0.03,0.03,0.03,000,0.03
2015-05-06,0.03,0.03,0.03,0.03,000,0.03
2015-05-05,0.03,0.03,0.03,0.03,000,0.03
2015-05-04,0.03,0.03,0.03,0.03,000,0.03
2015-05-01,0.03,0.03,0.03,0.03,000,0.03
2015-04-30,0.03,0.03,0.03,0.03,000,0.03
2015-04-29,0.03,0.03,0.03,0.03,000,0.03
2015-04-28,0.03,0.03,0.03,0.03,000,0.03
2015-04-27,0.03,0.03,0.03,0.03,000,0.03
2015-04-24,0.03,0.03,0.03,0.03,000,0.03
2015-04-23,0.03,0.03,0.03,0.03,000,0.03
2015-04-22,0.03,0.03,0.03,0.03,000,0.03
2015-04-21,0.03,0.03,0.03,0.03,000,0.03
2015-04-20,0.03,0.03,0.03,0.03,000,0.03
2015-04-17,0.03,0.03,0.03,0.03,000,0.03
2015-04-16,0.03,0.03,0.03,0.03,000,0.03
2015-04-15,0.03,0.03,0.03,0.03,000,0.03
2015-04-14,0.03,0.03,0.03,0.03,000,0.03
2015-04-13,0.03,0.03,0.03,0.03,000,0.03
2015-04-10,0.03,0.03,0.03,0.03,000,0.03
2015-04-09,0.03,0.03,0.03,0.03,000,0.03
