Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.145,0.145,0.145,0.145,000,0.145
2016-06-30,0.145,0.145,0.145,0.145,000,0.145
2016-06-29,0.145,0.145,0.145,0.145,000,0.145
2016-06-28,0.145,0.145,0.145,0.145,000,0.145
2016-06-27,0.145,0.145,0.145,0.145,000,0.145
2016-06-24,0.145,0.145,0.145,0.145,000,0.145
2016-06-23,0.145,0.145,0.145,0.145,000,0.145
2016-06-22,0.145,0.145,0.145,0.145,000,0.145
2016-06-21,0.145,0.145,0.145,0.145,000,0.145
2016-06-20,0.145,0.145,0.145,0.145,000,0.145
2016-06-17,0.145,0.145,0.145,0.145,000,0.145
2016-06-16,0.145,0.145,0.145,0.145,000,0.145
2016-06-15,0.145,0.145,0.145,0.145,000,0.145
2016-06-14,0.145,0.145,0.145,0.145,000,0.145
2016-06-13,0.145,0.145,0.145,0.145,000,0.145
2016-06-10,0.145,0.145,0.145,0.145,000,0.145
2016-06-09,0.145,0.145,0.145,0.145,000,0.145
2016-06-08,0.145,0.145,0.145,0.145,000,0.145
2016-06-07,0.145,0.145,0.145,0.145,000,0.145
2016-06-06,0.145,0.145,0.145,0.145,000,0.145
2016-06-03,0.145,0.145,0.145,0.145,000,0.145
2016-06-02,0.145,0.145,0.145,0.145,000,0.145
2016-06-01,0.145,0.145,0.145,0.145,000,0.145
2016-05-31,0.145,0.145,0.145,0.145,000,0.145
2016-05-30,0.145,0.145,0.145,0.145,000,0.145
2016-05-27,0.145,0.145,0.145,0.145,000,0.145
2016-05-26,0.145,0.145,0.145,0.145,000,0.145
2016-05-25,0.145,0.145,0.145,0.145,000,0.145
2016-05-24,0.145,0.145,0.145,0.145,000,0.145
2016-05-23,0.145,0.145,0.145,0.145,000,0.145
2016-05-20,0.145,0.145,0.145,0.145,000,0.145
2016-05-19,0.145,0.145,0.145,0.145,000,0.145
2016-05-18,0.145,0.145,0.145,0.145,000,0.145
2016-05-17,0.145,0.145,0.145,0.145,000,0.145
2016-05-16,0.145,0.145,0.145,0.145,000,0.145
2016-05-13,0.145,0.145,0.145,0.145,000,0.145
2016-05-12,0.145,0.145,0.145,0.145,000,0.145
2016-05-11,0.145,0.145,0.145,0.145,000,0.145
2016-05-10,0.145,0.145,0.145,0.145,000,0.145
2016-05-09,0.145,0.145,0.145,0.145,000,0.145
2016-05-06,0.145,0.145,0.145,0.145,000,0.145
2016-05-05,0.145,0.145,0.145,0.145,000,0.145
2016-05-04,0.145,0.145,0.145,0.145,000,0.145
2016-05-03,0.145,0.145,0.145,0.145,000,0.145
2016-05-02,0.145,0.145,0.145,0.145,000,0.145
2016-04-29,0.145,0.145,0.145,0.145,000,0.145
2016-04-28,0.145,0.145,0.145,0.145,000,0.145
2016-04-27,0.145,0.145,0.145,0.145,000,0.145
2016-04-26,0.145,0.145,0.145,0.145,000,0.145
2016-04-25,0.145,0.145,0.145,0.145,000,0.145
2016-04-22,0.145,0.145,0.145,0.145,000,0.145
2016-04-21,0.145,0.145,0.145,0.145,000,0.145
2016-04-20,0.145,0.145,0.145,0.145,000,0.145
2016-04-19,0.145,0.145,0.145,0.145,000,0.145
2016-04-18,0.145,0.145,0.145,0.145,000,0.145
